observation_date,QCNPAM770A
1985-10-01,62.4
1986-01-01,61.5
1986-04-01,63.1
1986-07-01,64.2
1986-10-01,71.7
1987-01-01,71.9
1987-04-01,72.9
1987-07-01,73.8
1987-10-01,72.8
1988-01-01,71.3
1988-04-01,72.0
1988-07-01,71.0
1988-10-01,69.2
1989-01-01,67.3
1989-04-01,66.7
1989-07-01,67.4
1989-10-01,72.6
1990-01-01,73.4
1990-04-01,75.7
1990-07-01,79.0
1990-10-01,81.4
1991-01-01,80.4
1991-04-01,80.1
1991-07-01,81.5
1991-10-01,82.7
1992-01-01,79.3
1992-04-01,78.5
1992-07-01,75.8
1992-10-01,80.1
1993-01-01,83.5
1993-04-01,82.1
1993-07-01,79.7
1993-10-01,82.3
1994-01-01,79.5
1994-04-01,78.0
1994-07-01,76.3
1994-10-01,75.8
1995-01-01,74.0
1995-04-01,72.3
1995-07-01,72.0
1995-10-01,74.9
1996-01-01,73.8
1996-04-01,75.9
1996-07-01,75.3
1996-10-01,77.5
1997-01-01,80.4
1997-04-01,80.7
1997-07-01,81.8
1997-10-01,84.5
1998-01-01,83.9
1998-04-01,85.4
1998-07-01,88.6
1998-10-01,90.7
1999-01-01,90.7
1999-04-01,92.1
1999-07-01,93.6
1999-10-01,104.3
2000-01-01,104.1
2000-04-01,100.8
2000-07-01,101.9
2000-10-01,104.5
2001-01-01,95.2
2001-04-01,96.7
2001-07-01,96.3
2001-10-01,96.9
2002-01-01,105.1
2002-04-01,107.5
2002-07-01,109.2
2002-10-01,110.5
2003-01-01,113.3
2003-04-01,118.5
2003-07-01,120.4
2003-10-01,118.9
2004-01-01,121.8
2004-04-01,118.4
2004-07-01,116.3
2004-10-01,114.9
2005-01-01,113.7
2005-04-01,110.7
2005-07-01,109.9
2005-10-01,108.3
2006-01-01,111.5
2006-04-01,112.4
2006-07-01,111.1
2006-10-01,109.2
2007-01-01,110.8
2007-04-01,111.3
2007-07-01,110.5
2007-10-01,107.6
2008-01-01,108.1
2008-04-01,107.3
2008-07-01,106.8
2008-10-01,106.3
2009-01-01,118.5
2009-04-01,127.5
2009-07-01,131.7
2009-10-01,133.3
2010-01-01,136.2
2010-04-01,138.2
2010-07-01,138.1
2010-10-01,137.6
2011-01-01,138.0
2011-04-01,137.8
2011-07-01,136.5
2011-10-01,137.6
2012-01-01,140.7
2012-04-01,143.3
2012-07-01,146.6
2012-10-01,149.4
2013-01-01,155.2
2013-04-01,158.2
2013-07-01,161.1
2013-10-01,161.9
2014-01-01,166.2
2014-04-01,169.4
2014-07-01,170.0
2014-10-01,171.9
2015-01-01,176.0
2015-04-01,178.8
2015-07-01,182.0
2015-10-01,186.7
2016-01-01,190.9
2016-04-01,189.8
2016-07-01,188.8
2016-10-01,188.5
2017-01-01,189.1
2017-04-01,186.7
2017-07-01,185.0
2017-10-01,182.4
2018-01-01,182.6
2018-04-01,180.8
2018-07-01,179.0
2018-10-01,177.3
2019-01-01,180.4
2019-04-01,180.1
2019-07-01,180.2
2019-10-01,179.9
2020-01-01,189.5
2020-04-01,193.8
2020-07-01,194.7
2020-10-01,192.4
2021-01-01,190.2
2021-04-01,187.5
2021-07-01,185.5
2021-10-01,182.5
2022-01-01,185.5
2022-04-01,187.3
2022-07-01,187.6
2022-10-01,187.3
2023-01-01,193.2
2023-04-01,193.5
2023-07-01,194.0
2023-10-01,193.0
2024-01-01,198.2
2024-04-01,198.4
2024-07-01,198.8
2024-10-01,197.9
2025-01-01,201.9
2025-04-01,201.8
2025-07-01,201.4
2025-10-01,200.8
