observation_date,QXMPAM770A
1999-01-01,112.8
1999-04-01,114.9
1999-07-01,116.1
1999-10-01,118.9
2000-01-01,119.1
2000-04-01,120.3
2000-07-01,122.3
2000-10-01,125.0
2001-01-01,124.7
2001-04-01,125.7
2001-07-01,126.6
2001-10-01,128.8
2002-01-01,129.5
2002-04-01,130.2
2002-07-01,130.3
2002-10-01,131.6
2003-01-01,131.5
2003-04-01,132.8
2003-07-01,133.2
2003-10-01,134.2
2004-01-01,134.2
2004-04-01,135.0
2004-07-01,135.3
2004-10-01,137.1
2005-01-01,137.6
2005-04-01,140.3
2005-07-01,140.9
2005-10-01,142.1
2006-01-01,144.7
2006-04-01,146.4
2006-07-01,145.8
2006-10-01,146.6
2007-01-01,147.2
2007-04-01,149.3
2007-07-01,149.5
2007-10-01,153.1
2008-01-01,154.1
2008-04-01,156.4
2008-07-01,158.1
2008-10-01,158.2
2009-01-01,160.7
2009-04-01,162.8
2009-07-01,164.3
2009-10-01,168.7
2010-01-01,169.0
2010-04-01,169.9
2010-07-01,168.8
2010-10-01,168.7
2011-01-01,167.3
2011-04-01,167.7
2011-07-01,167.9
2011-10-01,169.3
2012-01-01,170.0
2012-04-01,171.2
2012-07-01,171.2
2012-10-01,170.5
2013-01-01,170.2
2013-04-01,169.8
2013-07-01,169.3
2013-10-01,167.8
2014-01-01,167.5
2014-04-01,167.7
2014-07-01,167.4
2014-10-01,168.6
2015-01-01,172.7
2015-04-01,171.5
2015-07-01,170.7
2015-10-01,169.4
2016-01-01,169.5
2016-04-01,170.4
2016-07-01,170.3
2016-10-01,169.7
2017-01-01,170.7
2017-04-01,169.4
2017-07-01,168.4
2017-10-01,168.0
2018-01-01,167.4
2018-04-01,168.1
2018-07-01,167.7
2018-10-01,166.8
2019-01-01,167.2
2019-04-01,167.6
2019-07-01,167.7
2019-10-01,166.7
2020-01-01,169.3
2020-04-01,178.0
2020-07-01,180.7
2020-10-01,183.5
2021-01-01,184.7
2021-04-01,179.8
2021-07-01,177.6
2021-10-01,175.7
2022-01-01,173.8
2022-04-01,172.1
2022-07-01,171.4
2022-10-01,168.4
2023-01-01,165.2
2023-04-01,163.1
2023-07-01,161.2
2023-10-01,159.9
2024-01-01,158.1
2024-04-01,157.7
2024-07-01,156.8
2024-10-01,156.3
2025-01-01,155.8
2025-04-01,154.8
2025-07-01,154.0
2025-10-01,153.6
