observation_date,CPIENGNS
1957-01-01,21.300
1957-02-01,21.500
1957-03-01,21.600
1957-04-01,21.500
1957-05-01,21.400
1957-06-01,21.400
1957-07-01,21.500
1957-08-01,21.400
1957-09-01,21.500
1957-10-01,21.400
1957-11-01,21.600
1957-12-01,21.600
1958-01-01,21.700
1958-02-01,21.400
1958-03-01,21.500
1958-04-01,21.300
1958-05-01,21.400
1958-06-01,21.400
1958-07-01,21.600
1958-08-01,21.800
1958-09-01,21.700
1958-10-01,21.700
1958-11-01,21.500
1958-12-01,21.400
1959-01-01,21.500
1959-02-01,21.700
1959-03-01,21.800
1959-04-01,21.800
1959-05-01,21.700
1959-06-01,21.700
1959-07-01,21.700
1959-08-01,21.900
1959-09-01,22.000
1959-10-01,22.300
1959-11-01,22.300
1959-12-01,22.400
1960-01-01,22.400
1960-02-01,22.300
1960-03-01,22.300
1960-04-01,22.300
1960-05-01,22.100
1960-06-01,22.300
1960-07-01,22.400
1960-08-01,22.600
1960-09-01,22.600
1960-10-01,22.500
1960-11-01,22.700
1960-12-01,22.700
1961-01-01,22.800
1961-02-01,22.700
1961-03-01,22.700
1961-04-01,22.200
1961-05-01,22.200
1961-06-01,22.300
1961-07-01,22.400
1961-08-01,22.500
1961-09-01,22.600
1961-10-01,22.500
1961-11-01,22.600
1961-12-01,22.400
1962-01-01,22.500
1962-02-01,22.600
1962-03-01,22.500
1962-04-01,22.700
1962-05-01,22.500
1962-06-01,22.400
1962-07-01,22.200
1962-08-01,22.400
1962-09-01,22.800
1962-10-01,22.800
1962-11-01,22.700
1962-12-01,22.900
1963-01-01,22.900
1963-02-01,22.700
1963-03-01,22.700
1963-04-01,22.500
1963-05-01,22.500
1963-06-01,22.400
1963-07-01,22.600
1963-08-01,22.600
1963-09-01,22.600
1963-10-01,22.700
1963-11-01,22.600
1963-12-01,22.700
1964-01-01,22.900
1964-02-01,22.200
1964-03-01,22.600
1964-04-01,22.500
1964-05-01,22.400
1964-06-01,22.500
1964-07-01,22.500
1964-08-01,22.600
1964-09-01,22.500
1964-10-01,22.500
1964-11-01,22.500
1964-12-01,22.700
1965-01-01,22.800
1965-02-01,22.700
1965-03-01,22.700
1965-04-01,22.900
1965-05-01,23.000
1965-06-01,23.000
1965-07-01,23.000
1965-08-01,23.000
1965-09-01,23.100
1965-10-01,23.000
1965-11-01,23.100
1965-12-01,23.100
1966-01-01,23.100
1966-02-01,23.200
1966-03-01,23.200
1966-04-01,23.100
1966-05-01,23.200
1966-06-01,23.300
1966-07-01,23.400
1966-08-01,23.300
1966-09-01,23.400
1966-10-01,23.400
1966-11-01,23.500
1966-12-01,23.500
1967-01-01,23.600
1967-02-01,23.700
1967-03-01,23.700
1967-04-01,23.900
1967-05-01,23.900
1967-06-01,23.800
1967-07-01,23.800
1967-08-01,23.900
1967-09-01,24.000
1967-10-01,23.900
1967-11-01,24.000
1967-12-01,23.900
1968-01-01,24.000
1968-02-01,24.100
1968-03-01,24.100
1968-04-01,24.000
1968-05-01,24.100
1968-06-01,24.200
1968-07-01,24.200
1968-08-01,24.300
1968-09-01,24.300
1968-10-01,24.300
1968-11-01,24.400
1968-12-01,24.300
1969-01-01,24.400
1969-02-01,24.400
1969-03-01,24.700
1969-04-01,24.900
1969-05-01,24.800
1969-06-01,25.000
1969-07-01,24.900
1969-08-01,24.900
1969-09-01,24.900
1969-10-01,25.000
1969-11-01,24.900
1969-12-01,25.000
1970-01-01,25.100
1970-02-01,25.100
1970-03-01,25.000
1970-04-01,25.500
1970-05-01,25.500
1970-06-01,25.300
1970-07-01,25.500
1970-08-01,25.400
1970-09-01,25.600
1970-10-01,25.900
1970-11-01,25.900
1970-12-01,26.200
1971-01-01,26.300
